Nro.;Case de Prueba;userExcel;passExcel;UserId;deviceId;platform;clientId;application;authorization;codigo;codbody;rtoken
11;[Canje - Coupon] Canjear Cupones  con X-Platform menor a carateres permitidos - resultado 400;977137796;111111;;PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta;IO;7780216a-3ccb-38e6-a457-ace9052f0fd8;CUS;eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA;400;GEN_ALL_01;
12;[Canje - Coupon] Canjear Cupones  con X-Platform mayor a carateres permitidos - resultado 400;977137796;111111;;PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta;ANDR;7780216a-3ccb-38e6-a457-ace9052f0fd8;CUS;eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA;400;GEN_ALL_01;
13;[Canje - Coupon] Canjear Cupones  con X-Application en blanco - resultado 400;977137796;111111;;PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta;IOS;7780216a-3ccb-38e6-a457-ace9052f0fd8;;eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA;400;GEN_ALL_01;
14;[Canje - Coupon] Canjear Cupones  con X-Application caracteres especiales - resultado 400;977137796;111111;;PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta;AND;7780216a-3ccb-38e6-a457-ace9052f0fd8;.$+;eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA;400;GEN_ALL_01;
15;[Canje - Coupon] Canjear Cupones  con X-Application menor a carateres permitidos - resultado 400;977137796;111111;;PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta;IOS;7780216a-3ccb-38e6-a457-ace9052f0fd8;CO;eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA;400;GEN_ALL_01;
16;[Canje - Coupon] Canjear Cupones  con X-Application mayor a carateres permitidos - resultado 400;977137796;111111;;PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta;AND;7780216a-3ccb-38e6-a457-ace9052f0fd8;CUST;eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA;400;GEN_ALL_01;
17;[Canje - Coupon] Canjear Cupones  con access_Token en blanco - resultado 400;977137796;111111;;PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta;IOS;7780216a-3ccb-38e6-a457-ace9052f0fd8;CUS;;400;GEN_ALL_01;NO
18;[Canje - Coupon] Canjear Cupones  con access_Token inexistente - resultado 400;977137796;111111;;PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta;IOS;7780216a-3ccb-38e6-a457-ace9052f0fd8;CUS;9237652323523uywetweuieiuewtuiwet98329827389572385iweiuweiuewyet983279823iueiuet;400;GEN_ALL_04;NO
19;[Canje - Coupon] Canjear Cupones  con clientId en blanco - resultado 401;977137796;111111;;PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta;AND;;CUS;eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA;401;GEN_ALL_01;
20;[Canje - Coupon] Canjear Cupones  con  clientId con caracteres especiales - resultado 401;977137796;111111;;PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta;IOS;%&%$216a-3ccb-38e6-a457-ace9052f0fd8;CUS;eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA;401;GEN_ALL_01;NO
21;[Canje - Coupon] Canjear Cupones  con clientId incorrecto - resultado 401;977137696;111111;;PF0NGDtS1sn1qq7cv3UEE4beK8xGYEPlRzViLAAaBn0SQta;IOS;7780216a-3ccb-1111-a457-ace9052f0fd8;CUS;eyJhbGciOiJIUzUxMiJ9.eyJEQVRBIjoie1wiZGV2aWNlSWRcIjpcIjEyMlwiLFwicGxhdGZvcm1cIjpcIklPU1wiLFwiYXBwbGljYXRpb25cIjpcIkNVU1wiLFwicGhvbmVcIjpcIjkxNDk5NTgwNFwiLFwiZW1haWxcIjpcInR1bmtpQHR1bmtpLmNvbVwiLFwib3RwXCI6XCI4NTIzXCIsXCJzdGVwXCI6XCJTVEVQXzFcIn0iLCJleHAiOjE1Njk0NTM5Mjh9.SGMnphI5N4it4rFA6qMUUsVaDa_1PzCoqq9LkGYrJNZR5dcpEm5jS8ymyyelkTe1shatX0MVAYT6KQ6cAYEfrA;401;GEN_ALL_04;NO
